  PageRank 	 PageNo. 	 PageName
440136.594989	927119	日本
405174.975086	2245	英語
281131.190719	851077	アメリカ合衆国
151015.835012	851107	イギリス
146951.414347	409713	東京都
124374.322756	851093	フランス
112349.077902	1038457	地理座標系
108699.663451	3385	ウィクショナリー
107979.481037	851096	ドイツ
93384.6027443	25872	Portable_Document_Format
91500.2301209	1236579	第二次世界大戦
87394.5391679	1244	中華人民共和国
79829.9918331	2	日本語
77362.8446591	8	ヨーロッパ
76565.9157656	2244	イタリア
73736.8943584	1786	江戸時代
72025.5223939	2579	ドイツ語
70665.8222931	197	北海道
70249.6431303	37	フランス語
68569.8126504	215457	大韓民国
