  PageRank 	 PageNo. 	 PageName
751625.534679	927119	日本
370940.697557	851077	アメリカ合衆国
305012.242784	2245	英語
261579.087812	1038457	地理座標系
232939.190805	409713	東京都
135950.908128	1307	俳優
134006.616231	851107	イギリス
128965.997601	215164	インターネット・ムービー・データベース
117482.278525	6138	レコードレーベル
114324.231304	851093	フランス
112745.511974	718884	学校
110004.82687	3525	ポピュラー音楽のジャンル一覧
108650.433418	16203	企業
102055.905104	5007	会社
99358.4306792	53269	公立学校
99351.279877	851096	ドイツ
96849.5730373	2882	道路
95043.6587836	197	北海道
94168.9659213	123166	男女共学
93919.4237077	215511	大阪府
